id,rating,created,territory,reviewer,title,body
00000192-ff7a-3603-3ddd-4ddb00000000,4,2026-04-04T13:18:54-07:00,USA,hajilef,Distance discrepancy between app and official NASA channel,"I like the app, but the distance indicators in the app from earth or to moon are very different from the distance indicators on the live feed of the NASA channel. So can I even trust the data in the app?"
00000192-ff7a-3603-3dda-2e6e00000000,3,2026-04-04T12:01:37-07:00,CHE,iPhips,"Getting better, but… DON‘T upgrade to „Pro“ JUST YET","Update of my review 4. April 2026: 
I got a quick response to the below review and that is something I really appreciate and one can see that they are working hard on improvements! Good job. However, in my opinion an upgrade to Pro is not yet giving you a lot of improvement, so keep checking. 🌕



Thanks for fixing the YouTube-link. Weather-Option still „can’t be loaded because it is in the wrong "
00000192-ff7a-3603-3dbc-55dd00000000,5,2026-04-04T00:19:07-07:00,GBR,Gossa9011,Brilliant,Really great app. Well thought out and nice UI. All my friends have it too! Thanks 👍💫
00000192-ff7a-3603-3dbc-50aa00000000,2,2026-04-04T00:18:31-07:00,GBR,Pap Pat,Not sure data is correct,"Downloaded this app because I thought it would be good to sure the mission progress. I am just watching the news and the crew support has just announced they are closer to the moon than earth. Well this does not match the data graphic in the app. 
Also I purchased the extras which tell me the data cannot load as it is the wrong format."
00000192-ff7a-3603-3dbc-456000000000,2,2026-04-04T00:17:11-07:00,DEU,PET-J,Unbrauchbar,"Ständig falsche Tracking-Daten.
Wenn man schon 4 Euro für eine App nimmt, die nur eine 10 tägige Mission verfolgt, dann sollte genau das Tracking funktionieren!
Somit 40 Cent pro Tag, sind eine Frechheit.
Diese App ist unbrauchbar!"
00000192-ff7a-3603-3db7-a45f00000000,1,2026-04-03T21:54:45-07:00,ZAF,Diamond Eater1234132,This app is broken,"The data on the app is incorrect. Six hours ago the app was showing the craft halfway to the moon. Now is showing it as being 80,000 km from earth again."
00000192-ff7a-3603-3db7-54be00000000,1,2026-04-03T21:45:07-07:00,USA,fbicking,Info not even close,The info provided is not even close to the data NASA is giving
00000192-ff7a-3603-3dae-15b800000000,2,2026-04-03T17:27:33-07:00,USA,alienwanderer,Disappointing,"Got this expecting more detailed graphics on the location of the rocket. Didn’t see what I was expecting so I decided to fork over the $3.99 for the more detailed info. Not sure if it includes what I was hoping for because the subscription portion has yet to load. It keeps indicating a decoding issue. Hopefully, this is because their attention is fully fixed on the mission, I just wish I could wat"
00000192-ff7a-3603-3dad-d48c00000000,1,2026-04-03T17:20:43-07:00,USA,Subman631,Wrong data,It will periodically show Artemis II launching in 450 days when it has already launched. Telemetry data is always wrong or right depending on what time of day you open the app. Everyone should be reimbursed.
00000192-ff7a-3603-3dab-27b100000000,1,2026-04-03T16:05:46-07:00,USA,Cad1Pickle,Terrible App,"Without a doubt, this is one of the worst apps I have ever dealt with. It does not update. And I have to constantly reload it. I have an iPhone 17 Pro so this
App should work fine. Very disappointing."
00000192-ff7a-3603-3da8-451a00000000,5,2026-04-03T14:44:33-07:00,ESP,Abel Vartan,Working propperly after updating,It didnt show the correct info but it statted working propperly after updating it manually..
00000192-ff7a-3603-3d9e-05e700000000,1,2026-04-03T10:34:52-07:00,USA,Bighigg 55,Not Good,My app is showing at 1:30 on April 3 that we’re halfway to the moon. Also showing 1day an 19 hours to launch. This App is horrible! Very disappointed
00000192-ff7a-3603-3d9c-a2e300000000,1,2026-04-03T10:05:27-07:00,USA,Jones2ks,Totally Inaccurate,"Well, I paid for tracking and you failed to deliver. I will make sure no one uses this or any of your apps if you have any. Orion is 100k miles away and you have them 1k miles away. Lesson learned. Enjoy your lunch money."
00000192-ff7a-3603-3d99-853400000000,1,2026-04-03T09:01:51-07:00,USA,Howittzers,Broken,"Would be cool, if it worked. “Could not load data”. That’s what you will see most the time. Also, their information on the astronauts is in correct. Seems like this app was done half-&$$."
00000192-ff7a-3603-3d91-c78c00000000,1,2026-04-03T06:30:51-07:00,GBR,GarthNW,Premium features don’t work?,Premium features don’t work?
00000192-ff7a-3603-3d91-1a5a00000000,1,2026-04-03T06:17:21-07:00,USA,milomndr,Not working,This app stopped showing any pertinent Information. Please fix
00000192-ff7a-3603-3d8f-9dd300000000,5,2026-04-03T05:46:21-07:00,USA,Jennixo,Love the real time tracking,It’s so amazing to be able to have real time tracking data at my fingertips for this historic mission. It did lose accuracy around the TLI but the recent update fixed that.
00000192-ff7a-3603-3d8c-155500000000,2,2026-04-03T04:25:53-07:00,USA,RNolter,Next year?,The data is updated for next year. I figured if we paid we would get Live data?! Not so. I tried deleting the app and reinstalling it. Still no luck. Please fix.
00000192-ff7a-3603-3d89-e26700000000,5,2026-04-03T03:28:45-07:00,POL,Rybosom,To the Moon and beyond.,"Wow. What a fantastic app! I love the GUI, amazing set of data and data visualization. I hope you will keep the project up for the next missions."
00000192-ff7a-3603-3d86-f78800000000,1,2026-04-03T02:04:52-07:00,GBR,CharlieSkids,Not the official NASA app,This is Not the official NASA app which should top the search
00000192-ff7a-3603-3d81-61d800000000,2,2026-04-02T23:09:05-07:00,FRA,MontjoieSaintDenis,Broken,"A shame. A superb interface, great design, but the app is simply broken."
00000192-ff7a-3603-3d7f-555800000000,1,2026-04-02T22:00:23-07:00,MEX,FFonck89,Doesn’t worth the money,The payed version is quite the same as the free one and it doesn’t have the function of tracking.
00000192-ff7a-3603-3d78-17fa00000000,4,2026-04-02T18:22:11-07:00,USA,Aramancm,Telemetry issues,"I was really looking forward to this app, but the telemetry is far behind. ** The update made a large improvement. everything seems to be working …thank you for the fix."
00000192-ff7a-3603-3d77-84d800000000,5,2026-04-02T18:06:24-07:00,USA,Y0buck,App is awesome,"For what it is, it does exactly what I would want it to do. The paid version probably isn’t worth it but I really don’t mind supporting the dev. UI is beautiful and there’s so mainly interesting details. Make sure to update the app manually if your data starts looking weird because I ran into that problem but other than that it’s awesome. It provides info most news channels and websites don’t give"
00000192-ff7a-3603-3d77-7cf400000000,3,2026-04-02T18:05:32-07:00,USA,egorski,Showing 2027 mission??,Why all of a sudden is the data showing for 2027’s launch and not the current mission progress?  I paid for this interface and now it’s all jacked up?  Come on folks.
00000192-ff7a-3603-3d75-e55600000000,1,2026-04-02T17:21:19-07:00,USA,Canute73,Sorry…try again,TLI (Translunar Injection) burn is over and they are on their way but this app says it’s still yet to come and that Orion is still in the HEO (high earth orbit) phase. Clearly not a very useful way to keep tabs on their progress. Delete
00000192-ff7a-3603-3d75-cd0000000000,1,2026-04-02T17:18:38-07:00,USA,Noneya865,Says it will launch in a year,The data is not syncing at all. I would expect more - completely useless right now.
00000192-ff7a-3603-3d74-ce6100000000,1,2026-04-02T16:50:20-07:00,USA,Skitard,Data does not match,Data does not match the live stream from nasa YouTube channel. Waisted money
00000192-ff7a-3603-3d72-9d9800000000,5,2026-04-02T15:47:53-07:00,CZE,Nesser256,OK už je vše v pořádku,Stačila aktualizace
00000192-ff7a-3603-3d70-e41200000000,2,2026-04-02T14:59:10-07:00,USA,LewE74,?,"Purchased get $3.99 one time subscription but got charged $16? Also, where is the upgraded information? Nothing is new."
00000192-ff7a-3603-3d58-f22b00000000,1,2026-04-02T05:49:27-07:00,USA,Cyclicstick,Updates not working,"This app is not even close to providing accurate information. After conversations, the speed is grossly high. Distances from earth/moon are not close either.  I was hoping for something more accurate. Nice try, falls short so far."
00000192-ff7a-3603-3d4f-718600000000,3,2026-04-02T01:38:01-07:00,GBR,Paulm1969,Time tracker,The app is quite good overall but the time tracker section with the mission time doesn’t match the one on the home section. A minor thing really but still if you pay £3.99 you want it up work
00000192-ff7a-3603-3d40-e1e600000000,3,2026-04-01T18:05:14-07:00,USA,RJ7173,Fix picture of Victor Glover,"First, Victor Glover is not white, like the image you have posted for his bio. C’mon, please fix asap. Simple accuracy and quality control. The app is ok; it links out to websites for a lot of current information."
00000192-ff7a-3603-3d3c-21a400000000,3,2026-04-01T15:53:40-07:00,USA,Jayalexn,"Great effort, flawed performance","Data are all over the place, not synched with NASA despite ‘Live’ status."
00000192-ff7a-3603-3ce5-d35c00000000,4,2026-03-31T04:32:27-07:00,GBR,@wark27,Good App so far but….,Lovely app with lots of data….but….you might want to check out the profile picture of Victor Glover…that certainly isn’t the photo of ‘first Black astronaut on long duration ISS mission’….that’s a picture of a white man
00000192-ff7a-3603-3cc5-97e200000000,1,2026-03-30T12:29:09-07:00,GBR,lc>1234,Photos of Victor Glover isnt Victor Glover!,Pretty poor & disrespectful when you cant even show images of the correct astronauts going on the mission!
